,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state
0,2,Morning Run,5960.4,1972,2058,40.7,Run,0.0,3818843412,D3182078-E877-4AE5-8824-6FA423787208-activity.fit,4083761641.0,2020-07-27T08:27:18Z,2020-07-27T09:27:18Z,(GMT+00:00) Europe/London,3600.0,"[51.593081, -1.792901]","[51.593788, -1.793333]",,,,51.593081,-1.792901,0,0,0,1,0,False,False,False,False,everyone,False,,False,4083761641,3.023,7.2,False,False,False,123.2,90.8,0,0,False,38178931,1,a3818843412,ww{yHtd}INZDQOK\H?KXa@JEHMA@?JFNCHLh@HTDVFJVNRl@DBLd@DHVVBTX`@DTBTH\NVNl@b@pARdABj@h@x@R`ANFHADBJ^DFH@VRF@HHJBNJD?JGHIP@HODAHBR@LELGZe@DALQXg@J[@U\sAZgB@UPe@Lm@N_A?[ZqANy@@g@Lc@Hi@^kAB[C{AIg@OwC@[Ls@CWMU?KGKKAReAFOL{@Vo@Ba@Pq@d@_B`@gBX{@DGL]DoAV{AT}CT_BCe@@UA]Hs@By@Pe@Tw@TkARo@p@aBTs@LUJGFWHEFMDM?SHUJKBSp@iATOBKDCLc@NYHEPYDOHK@KHSLKPYHe@@MGm@EoAFy@?iBFmACm@@WKqACiAK{A?[[iByAe@u@Bw@IaAC_@Kg@A}@GGJOf@KP_@LOOGg@IQy@m@UIk@c@E?g@a@YKOA]USEKIMAUIQSe@OWO[ESI_B]_@@]JQ@_@EKGEBARHr@WJa@b@WNs@|@]POBQHYF[ZGBY\M\OA?DUXG@[XuA|BQNc@r@e@n@{@p@MFOPWNq@v@WPa@JWRm@Jc@PMFk@f@S@gAb@m@PWPSb@ORCBG?STKROb@i@jAg@v@_@|@[h@Ej@@dBC\GZy@bAQt@Un@c@~@M`@{AtD[\_@PgAVKJCF^hBBTFdBAt@Ib@KZMTOd@[d@CLCd@Hr@@ZM~A[dA[~AG~A?bAC~AGr@OjAKNKHMNGvAIXARRhALhBAnACV@PFd@Nb@LHLIBBJBDF^FHFZ`@H\LFFLJFTn@`@v@NFNCTTDCFDPCNK\MTc@DCRDN?FANINOHUFENAJHXHVQTWZu@F]?SFY?WJQHe@HE@ILa@^}@H]@WPa@EOQkAFy@AYFIJCDBBFDTJbBDPDAPJz@t@Fj@FLPR\TFHFJV`At@t@h@Td@DJJNVL@@HDBDCDDPEZWLEXILHNEX[F?,2
1,2,Afternoon Run,5874.6,1912,2038,39.3,Run,0.0,3811478413,4F0B656C-1223-4506-8834-C7AE199E1D85-activity.fit,4075094426.0,2020-07-25T14:33:51Z,2020-07-25T15:33:51Z,(GMT+00:00) Europe/London,3600.0,"[51.593037, -1.792942]","[51.594278, -1.793389]",,,,51.593037,-1.792942,0,0,0,1,0,False,False,False,False,everyone,False,,False,4075094426,3.072,5.9,False,False,False,123.2,91.6,0,0,False,38178931,1,a3811478413,mw{yH|d}IB?J{ADILGLCBERCHR@b@Jl@FTV^Pt@TZf@\JBRVh@d@`@j@D\Bt@TfAJfBE~ABLGh@@JHFBLDCJSDQXBBHHFXG\m@RUJe@JSViAFsAHo@t@cBFUNeBj@}AZsAD[Gi@A]NgAH_AJWR_A@k@JWT}@F}@Vk@LS@g@PGPYf@qBF{@RaAJmAJq@PeBRk@V_BRk@HMBM@y@V_B@q@Lu@DoBPw@Ro@J{@X}@\g@Re@\m@T}@h@cAZ]E_@PDJCNM^k@PMbAyATe@b@q@N]Fe@BSCaA@gAC{C?eAIcDFg@Cm@BIG_BIs@IMQKa@EQIq@Q[CO@w@Im@KSA[?_AIG?KJQ`@[j@OAMMEIAWIMw@k@m@k@SIc@[}A{@[WI?KMa@SeBs@SOUKcAC{@Hs@@ILI`AWXGPOLQHIHSNa@d@IDKNKA_@BWX_@VIJG@S^UPWVUTYf@OJUXOJQ^MJ[j@UTGLEBi@p@_@RQR_@^ELKLoAr@}@TKFWJURe@Hk@b@_@N[P]HUPKJOZi@f@m@vAcA|A[\Sd@[j@ALBzAAd@ERa@jAY^eAvCa@|@a@pA]z@OXg@d@WJy@PSJKJ@TVjAHzA?fBMp@IRa@l@e@d@EHBn@HtADb@?h@g@`BIh@OhBEvB?d@MvAWnA]l@IVSfA@JCVAj@BHJJL|@HXAdAERCZBHDBHN@NFHVFPGd@ENVNHZFFEFANb@\n@FVHfAPn@\HLVDNFFLIRA\WFAFEJULKZKT@XGj@_@VYLIHCLFDADCFSB_@Ao@J}@?e@DM@e@RAFEJCTQR_@^WHOXeAAMe@_@K_@Gk@?a@DS?WEAA@HLHBh@r@JVBd@NNVHLLJDNj@Cp@`AHVEVRVf@Lr@L`@JNFPTP^JV^PPZWBB?F@AB@JOZD,2
2,2,Afternoon Run,4952.8,1608,1644,36.9,Run,0.0,3805291841,8299C2E4-CC62-41EE-8C8E-B329CC0C62B3-activity.fit,4067925876.0,2020-07-23T16:01:49Z,2020-07-23T17:01:49Z,(GMT+00:00) Europe/London,3600.0,"[51.593257, -1.793204]","[51.593384, -1.792985]",,,,51.593257,-1.793204,0,0,0,1,0,False,False,False,False,everyone,False,,False,4067925876,3.08,7.1,False,False,False,123.2,91.9,0,0,False,38178931,1,a3805291841,yx{yHpf}IBGl@FFEEKHM?CAAC@AGFYDCDMTQ@ECFB\HNJp@R^Rn@Nt@@PP|@LHR?JHRCLBDBFLFR@J?d@DXHTT\JBRLVTDHNl@Zt@Pj@ThABZf@YZe@Ra@TsATe@D_ALu@J[R}@dAiERyARu@Hm@DmBHu@DIXiBJe@TwARm@F[Xy@`AuDRa@BoARqA?iAP}BL{@AoA@[^gB`@{ABa@b@yCP}BHYFa@V{@@Y^q@TUPc@FIN]Ty@Vm@rAeB@MLMFUFEHSXYDMr@o@PYBKNGFGRm@DsACmAVaFAq@M_EKk@Cg@WwACEYY[MyAWUA_@D_@?m@CMC]Bk@MGDCL_@p@Ef@EBMAUIA]Sc@_@a@WS[]OM[MUW[MKG[G[OWEMMKCEGc@I]UYKm@Mi@TG?KCK@UTc@Lq@ZYFg@?k@RSRE?EHMDMNYLOFWCWTKFG?QFMJYt@[ZKFILc@\KPGFQVGDW^CNWd@uAhBMNYTG@e@`@OJg@f@k@RWPa@HQJk@RSNo@\GFw@Xa@VOBWNi@v@k@l@_@n@MFORq@~AW`@IT_@n@Ef@Bd@AtBCRg@bAEP@VDj@EZDpAPfAB^CrAD\BvACj@@XD|@RrA@ZFb@@ZDPAT@v@CTF`AFZVzBLz@@h@Fh@@^AzAH`@F|@n@tCL\NhB@|@FN@N`@r@TL@H?l@LVNHF@JIL@h@VPLTTFBXT|@bAX?|@F\Rh@d@\OXSZGn@c@d@UJ?@B,2
3,2,Morning Run,5974.5,1948,2077,42.9,Run,0.0,3794156007,30702F16-2E26-4FEE-8994-F6427456CC6B-activity.fit,4055492303.0,2020-07-21T08:09:28Z,2020-07-21T09:09:28Z,(GMT+00:00) Europe/London,3600.0,"[51.593164, -1.792963]","[51.593655, -1.793002]",,,,51.593164,-1.792963,0,0,0,1,0,False,False,False,False,everyone,False,,False,4055492303,3.067,7.5,False,False,False,123.2,91.9,0,0,False,38178931,1,a3794156007,gx{yH`e}I@Qz@ONM?KFMBDNh@BDLD@DBZf@x@DPn@jARRHPVTTZ\x@J|@Xp@H^j@lAN|@Ld@LzABND?TQNBDJ?NFXT\RRPJDCZ_@^MPMn@o@X_@T]\{@^eCAURo@TyA?SPw@RyCAg@Po@PgARc@Dg@C]I}ASmBDiA@uAE]O]KKMGCMHU\UVg@LEb@e@n@oAT}@^kDAkABs@h@gFFkCXcBZoANe@^sAFi@DOj@}Az@yAJWL}@JWLc@NY\_@Po@Xw@\]J_@VSh@_AROBSBaBC]DWF}@ByBCcAG}@EkAe@iFKs@K]GGKIkAMY?a@Ae@GK?QEi@?MCY?e@CKFc@hAATE?}@q@?OOYq@UgAu@_@a@[Sc@Mg@UWSKOkBk@SK{@OmAG[He@KWKAJFJBNOj@S`@a@X[XEJa@XKAWHUL}@TUZQ\GBKHOX[Jk@b@]j@UVAPEPQf@OXaAp@i@z@WVQT_@l@EJWPg@LgAj@a@F[Ra@LQJi@`@UHiAh@QB[Z[j@KFe@j@o@hBa@t@q@`AIRI`@Fj@?\A|@Ib@S\k@v@Yz@MRkAzCK^U^I\SZGXSPSLc@JU?]HIBCFFpAF^FPD\@xAAr@Mj@MZSZe@f@O^Ap@Jd@Dj@?`ACR[fAY|BCbABf@?pACrACPMb@INYb@Kp@IBAHEhA@VPfACbCMr@?LBLTLVFDCJ@HDFVLBn@fAPh@NRNVZz@JNVFXb@F@PCd@Q\SDAf@g@RIT?PGd@UVYX?VOTWVq@D[C_@DO@WCu@BELFLAf@UPWH[HOFEPEM_AQa@Bw@Ls@Bm@CF?TTz@^?DAF@N^?ZFLXDHEHKHARNd@PPJNFDB\t@T`@Z\VNb@j@\XN?PGNAZ?ZKZ@`@CTF,2
4,2,Morning Run,6134.6,1983,2086,42.7,Run,0.0,3783931464,EDBDB16B-4646-424E-B5EE-7C3CF07A2C70-activity.fit,4044129225.0,2020-07-19T08:14:38Z,2020-07-19T09:14:38Z,(GMT+00:00) Europe/London,3600.0,"[51.593137, -1.792867]","[51.593741, -1.792918]",,,,51.593137,-1.792867,1,0,0,1,0,False,False,False,False,everyone,False,,False,4044129225,3.094,9.8,False,False,False,123.2,91.9,1,0,False,38178931,1,a3783931464,ax{yHld}IISR[Ha@FCT?HITKLAJZb@ZHH\z@R\Vv@t@dAXj@X^\t@FXFn@VtAN`@ThAFRV|BJZFHHEDJD\LTTR^RNP@HHADE`@SDIVOFMXMLMV]Ti@Da@Je@N}AL{@AS^cBJo@@]ReAJiAH_@?i@b@}ARa@DQ@a@o@{GHwAKcAQ_@QYEI@GPYRMPSv@YJQJCDEPGF?HMFWD?BORETHNCD?BGF?JG?CJOL]RaADIA_@x@}Hj@gDN]Pm@`@cAb@m@v@y@d@_@RSRKHGHADELA?CVOLUFGH[CWPkADa@AMEM?u@I[@UJeANi@?ODMRU@w@MuAC{@QyA@uBC_A@oBMcBAw@QaBUoDSgBIUOOi@GsBMc@Ic@E}@@u@IE?KRWr@S@SHQ@AA@a@EOKM{@o@_Ak@e@c@]QeAg@EEWIQMWG_Ae@uAe@i@Ku@L_AFSA?HJb@AHKHGPOVg@d@GLWXK@MJQHm@Pk@\I?QLYh@}@z@Ub@QDST_@p@GX]b@S^]Zc@Xa@f@a@Vm@r@aAb@eAh@o@RYL_@^IFMBi@^i@Jk@R_@p@i@d@MN}@|Bk@|@IRa@h@Yf@GTBd@?jBEd@_@|@c@r@}@bCa@t@I\KLK^GFWx@MXMPKDWDOA_@LQ?IDIJAH?v@Df@Ld@Dn@?p@@f@C`@Kn@cAtAMTCR?h@Nz@Bf@Al@s@dDGb@CfAGXCd@?vAEz@Qz@MZQRGPG\C^GLEV@NGRE^@PPn@@b@TnB?THTL@LFVFX?THD?FJPNDHLj@@XJV@BTEPHJh@@XFNn@^PVD@VATBh@KPKBIVYNKFOFDXAr@[TUTM`@TFI@IBm@Da@Ag@BMAw@Bg@DGJBb@Mn@q@V_@BI?IKq@KOM_@Du@?iBT|@Db@BLFJLBJALNZz@?NLCBBF?JELDTET@LFPPR`@Jd@RfAh@HNPd@t@dCYNMJ@l@Q,2
5,2,Morning Run,5849.9,1961,2079,41.1,Run,0.0,3769717664,BA1AADA1-C53A-4228-B013-01D3D46E215B-activity.fit,4028130066.0,2020-07-16T08:09:38Z,2020-07-16T09:09:38Z,(GMT+00:00) Europe/London,3600.0,"[51.593008, -1.792826]","[51.593574, -1.792997]",,,,51.593008,-1.792826,0,0,0,1,0,False,False,False,False,everyone,False,,False,4028130066,2.983,13.6,False,False,False,123.2,91.6,0,0,False,38178931,1,a3769717664,gw{yHdd}IA@nBvAXZNCHGN?HILEVZH^Tl@Hh@@f@DHAJN`ADnB\j@B?JGB?DJAH@JLTN?HBNFJHJ@TIjAb@j@GFCN\\SJP`@SJFLKNWNg@FDTu@FELYDEB@D{@@CFYXiA@Sp@aDBUj@aBNu@MuBc@gDAYAYRgBBs@GSIEKSE[?GRg@VUTW^{@Ji@FIHYPy@t@}ADYHQNk@Lg@L}@DmAHq@RcAEiADWXs@\gAXiAReAL]Nu@Vy@\y@ZsARc@@c@HOf@uBNWRWBCFBNC\KDIZY@Ed@e@JOBI@U?i@ImCOmADuGGgBMmBQ{AE}@OaAGUIAIIYOa@E[GoA?s@Gk@Be@Ma@GWLIZS^G@U?SI?WKSwAkAYQYISM}@a@IK]QGIOB{@k@g@UiAK_@MWAW?ICy@D[Aa@GIBELDHAFKr@KTOJMh@_@V[ZU@WLUBSTMB]PSXENSZMN{@n@ELYVEJKFMPM\MNOZ{@z@k@x@s@n@_@d@QHQDoBfAe@D_@To@d@}Ap@c@JQH]p@[ZUZc@|@i@nAs@jAWh@GDERBx@EzBUj@a@h@_@hAa@x@_@hAQZc@hAu@nAg@\s@N_@RGNNr@Bd@Jf@Dz@AnAMj@M\o@r@INKf@ANJt@FbAGhAEb@g@fBMl@?bBE`A@^Ez@MfAUbAUh@M^AN@t@C|AFZ@RNTDP?JEFCN@d@Ab@HVTRp@?PJRX^~@@f@\RDFHNJ\HHJV^PLVHDF@PE^Up@u@@IPBXGZOh@a@h@@FCRSLQVs@NcAFaBFENEJOROHMPON]LQEo@QS?c@Fk@J_@Ba@PKFRX`@Jh@NLDHF@TPLT@X?\HRJBVCRFLPLHX^n@jAl@d@l@Nl@j@D@^Ix@YT?LGJMD?HILE,2
6,2,Morning Run,6027.7,2004,2215,42.3,Run,0.0,3754905675,18DDF707-4D2D-4AB3-B6AE-AD6332333A69-activity.fit,4011584823.0,2020-07-13T08:06:19Z,2020-07-13T09:06:19Z,(GMT+00:00) Europe/London,3600.0,"[51.593131, -1.792962]","[51.593624, -1.792998]",,,,51.593131,-1.792962,0,0,0,1,0,False,False,False,False,everyone,False,,False,4011584823,3.008,6.9,False,False,False,123.9,91.9,0,0,False,38178931,1,a3754905675,ax{yH`e}I?MDe@C?EJF@?@FDHTNHJABILCDULD\^R`@LNl@lARj@TPb@l@|@`AJ\Zd@N^XZHTr@xCPzA@NELHADV^d@Vd@`@TFJDALSHCNa@FA@GFEBQHUD?Lg@FGJ[LWBKDcAf@gD@]Pi@TqABe@Le@VyBBa@TcAp@aCCWIUCSWmDHmBEm@Gc@SYSQCI?MNm@Ga@BGFINGDGb@oATa@H]Hs@P{@LeARaAV_CL_@Hg@Bk@CsAH}CZiAViAX}@Zy@NWJ]\s@PUVe@DQFc@^{@B[AuACE@OHGH]JUPUt@kAPMDG^}Al@s@L]Zg@PcERwA@qBOyDW}BMSIIGC}@@kAMqBKcAQsA]G@MDWTUXG@ICAGIAAUB[IQ}@i@i@UYUy@OSK[GE@UOy@QKG[Gs@Uc@@i@H}@Bc@?KEW@OCWDSFOHM@eAl@WBk@b@o@\gAfAcAdBIDQTaApByB|CGNAR@^D\AHECS\y@ZWBq@Vc@ZYLg@d@YNgAd@a@LULo@hAo@l@gAnCuAxBGX?hBG~@GNe@b@]r@Ob@?FKZ_AxBIh@Ud@?JWr@i@h@I@s@Xg@FGLAHBR?NH\Fp@@f@ApBG`@IZWb@c@f@MTCH@x@T`B?Pe@hBOr@IjAKfEKzAWhAO^MROD?DQHHBDR?XCVFx@An@F\@TFr@E`@?t@Hd@JHXJTYDA@HFF@FZNZZFRLJFPP~ALh@Rb@j@`@R`@N?b@QROh@u@NET@nA}@PB`@JPEPOHKHUJa@Jw@Ae@BG@@FG@EKy@@A@BFAJCp@c@NUBKDe@?e@Lg@@QMa@AUGGA@AACGCk@F_@BEDCDe@B@BL@XXn@PdADBH@JTRHb@\Bh@\DBBREN?^PtAhCRRh@\^ZBHHA|@c@fASN?FGNG,2
7,2,Morning Run,5076.0,1540,1594,36.4,Run,0.0,3740102672,7726172E-4A22-4AD2-BEFD-037C58F29218-activity.fit,3994954617.0,2020-07-10T08:24:52Z,2020-07-10T09:24:52Z,(GMT+00:00) Europe/London,3600.0,"[51.593122, -1.79278]","[51.593504, -1.793346]",,,,51.593122,-1.79278,1,0,0,1,0,False,False,False,False,everyone,False,,False,3994954617,3.296,6.6,False,False,False,123.9,90.9,0,0,False,38178931,1,a3740102672,_x{yHzc}IDURIFG?WFSFCDHD@DCPp@XpBFFX`A^x@h@`AV\FBPXNl@\~@\f@Xj@VjAL^V`@Vv@P\@QHBNJBHDj@HVp@lAPLj@e@V]NMR_@h@uAJYDUbAsCDw@V_BP_Bb@sBJuA?o@Lu@NO@WHg@Gs@GwAEa@GUKiACIFqCCg@IOEC@MDQHQTUj@wA\g@NQBI?c@BMPg@X_CBw@Lm@VmBFw@DMJo@@OAaADg@Aa@Li@@WPkAl@eB`@eBHINi@Pc@TYVg@F_@p@gBBSNULKPg@@GAUDEDWf@s@J[DEH[R]PQF@JCf@i@?a@@_@GkCDgA?gAFqCAe@[uDOoAMu@My@GYIMIEm@Gg@AkAGo@Bc@GS@YGY@MDUn@UZCFGBOCKGUe@_@k@_A_AWIq@e@_A_@m@a@I@OCo@a@k@Wu@Qq@WiAA_@BoB`@SNGAkAT_@P_@Jk@Xs@j@mAhA]d@o@|A[~@o@lAc@j@y@z@[l@GBG\Fb@?JEFECcAx@a@J}@\e@d@SB_@XUDq@^SF]FULi@dAOJQRa@rAGBUh@aAzAa@z@IZ@tAKnA[pAKH@jACd@LhDRnA?TGf@BLBrAF`@Bd@P`@DXBd@E`AJv@Fx@Bj@D\DvBPx@LnADRB^Cf@BTThBR|@@JJXDRXzBNx@Vl@F\@f@FXBJFBR@ZXDR?NHPZRRBPHPBX`@ZZPb@FBNZPLf@h@h@Xt@p@RDHANINJtAWL[,2
8,2,Morning Run,5003.5,1629,1691,36.3,Run,0.0,3730679131,C59997DC-5B1E-4BF4-BFD6-D8DC1719CDB7-activity.fit,3984624598.0,2020-07-08T08:27:40Z,2020-07-08T09:27:40Z,(GMT+00:00) Europe/London,3600.0,"[51.59312, -1.792928]","[51.593513, -1.79325]",,,,51.59312,-1.792928,0,0,0,1,0,False,False,False,False,everyone,False,,False,3984624598,3.072,6.1,False,False,False,123.2,91.9,0,0,False,38178931,1,a3730679131,_x{yHxd}IbAgA?HNARTNCPDJJXr@ZVARv@n@Z`@@RHXf@n@Zn@Hh@l@~AN|@`@xAHtBHn@RCDB^l@Xb@FBZIp@i@PU\Wf@aAd@mBX_A@UZuAN}@@g@Lk@Jy@N{AA]Nq@f@_BB[SsDYuBHeA@a@CWOQQMCKBKbAmAd@{@J_@d@{B\_DB}@VyARq@@SCuBb@oDj@{BTo@Rq@b@{B~@qCVsAJUXsA@UJSLIl@o@P_@AIBSRMXc@FMf@g@LWNSL_@@I?eAEoAJeD?cCUaGGo@WkBGQIIKEUBg@Kc@Ca@@_@Gc@@SDk@KU?[EWAGH[bAKb@EBIAa@o@CWGOKMUQg@WWUi@[q@c@g@Sa@WWCG?WU]Su@Qe@SSCo@YWG[?w@Hq@NCF?J@f@ARITUXUHUV[V]LIJa@F_@b@[NSTKFINc@ZKPOJm@r@ULQb@MPCHILOPKXUZ_@XY`@o@^m@h@E?SVaA`@a@Ru@b@QTu@VURYH]XMDk@FQHaAxAc@f@I^[n@e@r@S^OPYl@W`@ITFzAAxAOf@U\E\Ah@Jv@F~BHp@F`AAfAFl@@|@Z`BRl@DrAL|@Ir@Bf@EXLh@P`BTdBA`AJjAFZHrCJj@?PN`@@TDTDr@F\HtADDFVFDv@j@\t@JDLAPFd@ETPTFv@r@Td@NNLHx@p@XPFHr@p@h@EX@f@ATU,2
9,2,Morning Run,5871.8,1917,2070,40.0,Run,0.0,3711062775,8D11C3C8-CFA3-443F-B968-0A6CD302B269-activity.fit,3963204712.0,2020-07-04T09:44:56Z,2020-07-04T10:44:56Z,(GMT+00:00) Europe/London,3600.0,"[51.593163, -1.793035]","[51.593689, -1.793347]",,,,51.593163,-1.793035,0,0,0,1,0,False,False,False,False,everyone,False,,False,3963204712,3.063,6.0,False,False,False,123.9,91.9,0,0,False,38178931,1,a3711062775,gx{yHne}I@AC]@KFFHAFFJFF?JMBATPDACQFBDGHAFLF@C??FJXv@`@LLXNBHBA@\D@DJF\Z~@HTd@p@JVHbAFTj@nAXbAJVD@FCDHL`A?r@BRDPPLLTJtABJl@|@DAVa@r@u@l@}@Pi@T_@`@_A@S\cBHmA@m@^cCDUBaA\uBBq@h@}ANm@BO?i@U_D?kAHaAAq@E_@q@e@A[L_AFw@JO@KJMJWHIJWLUDWP[JeANw@NmAHiBTiC^}BRoBNy@Jw@^mAl@}AZiAb@{@HYd@o@~@{B`BmCPk@T[X{@PQN_@Z[DMDY?yAHeBBqA@sAAoAEQUwCUqBGY[]qB_AmA[sACeAMKDKJU`@EPEBIA]QKWg@_@Wg@MQUIs@i@u@]}@[KAQIIIQEoAi@a@E_@QeAWSAw@Dc@K_@AK@MHWFY?WC[BIFc@NEFMDSVg@XwAnAc@j@Yb@]p@{@vBSZW^QLg@j@k@x@QPCR?`@Fd@AZCHa@NKHm@LWPk@LuA`Ae@JYN[LYPu@RIJc@x@OJQZMj@Yh@y@lA[l@UPGNETBpAAlAGZ]x@MBCDc@lAOn@A?U`@C?AJOd@QZg@lAIJCNC@E^Sf@e@^MHG?]VE@WAOFCFB\?TPzB@|AS~@Wf@a@j@[l@J`@JhA?n@UrAM^G^SfBCl@Dp@CdASzBSlAg@x@El@GP@BCLHv@DPJ~ACrBET?JXVj@RHANNPb@FF@?D@P`@NJJLf@`BRZFCRJXj@LFPKP@ZQREJIHCLSLI^G^SJAPIf@]H@JDPAHMLgABeAGcADWRWBBPMh@YPSXKFI@KCUUg@AU@]DOFG@IFiAHHJVFb@Np@PR\RF?FJXzAL?DHNFLMJOJCn@RLLj@~@Vj@j@J\Ld@f@DF?NDDHANKRAF@P?NEDDH?DAJ],2
